"Catégorie";"ID";"Label IEATC";"Patterns (séparés par |)";"Description"
"vaisseau";"chong_mai";"Tchrong Mo / Chong Mai (Vaisseau Pénétrant)";"chong mai | vaisseau penetrant | tchrong mo | tchrong mai";
"organe";"coeur";"Cœur";"coeur | zang coeur";
"vaisseau";"dai_mai";"Taé Mo / Dai Mai (Vaisseau Ceinture)";"dai mai | vaisseau ceinture | tae mo";
"organe";"foie";"Foie";"foie | zang foie | hepatique";
"organe";"gros_intestin";"Gros Intestin";"gros intestin";
"organe";"intestin_grele";"Intestin Grêle";"intestin grele";
"organe";"maitre_coeur";"Maître du Cœur";"maitre du coeur | maitre coeur | pericarde";
"organe";"poumon";"Poumon";"poumon | poumons | zang poumon";
"organe";"rate";"Rate";"rate | zang rate";
"organe";"rein";"Rein";"rein | reins | zang rein";
"vaisseau";"ren_mai";"Jenn Mo / Ren Mai (Vaisseau Conception)";"ren mai | vaisseau conception | jenn mo";
"organe";"triple_rec";"Triple Réchauffeur (TR)";"triple rechauffeur | tr ";
"organe";"vb";"Vésicule Biliaire";"vesicule biliaire | vesicule | vb";
"organe";"vessie";"Vessie (méridien)";"meridien vessie | meridien v";
"vaisseau";"yang_qiao";"Yang Tsiao Mo / Yang Qiao Mo";"yang qiao | yang qiao mo | yang tsiao mo | yang tsiao";
"vaisseau";"yang_wei_mo";"Yang Oé Mo / Yang Wei Mo";"yang wei mo | yang wei | yang oe mo";
"vaisseau";"yin_qiao";"Yin Tsiao Mo / Yin Qiao Mo";"yin qiao | yin qiao mo | yin tsiao mo | yin tsiao";
"vaisseau";"yin_wei_mo";"Yin Oé Mo / Yin Wei Mo";"yin wei mo | yin wei | yin oe mo";
"Famille diagnostique";"exces_yang";"Excès / Plénitude de Yang";"exces de yang | exces yang | yang en exces | plenitude yang | plenitude de yang | yang plenitude | trop de yang | yang trop fort | yang excessif | yang local | yang en plenitude | plenitude yang reelle | yang en plein | yang reel en exces";"Excès de Yang — chaleur, rougeur, agitation, plein. (Yang Shi — plénitude Yang réelle, distincte du Yang apparent produit par vide de Yin)"
"Famille diagnostique";"feu_vide";"Yang apparent / Feu apparent (Xu Huo)";"feu du vide | chaleur de vide | feu de vide | xu huo | chaleur xu | chaleur vide | vide avec chaleur | chaleur d origine xu | yang relatif ascendant | chaleur vesperal | chaleur le soir | chaleur en fin de journee | yang apparent | faux yang | yang flottant | yang non ancre | yang sans racine | yang qui flotte | chaleur apparente | chaleur fausse | jia yang | yin ne peut plus ancrer | yang monte par manque de yin";"CRITIQUE (IEATC) : chaleur produite par un vide de Yin — le Yang monte non parce qu\"
