"Catégorie";"ID";"Label IEATC";"Correspondance MTC";"Patterns directs";"Expressions sémantiques reconnues"
"1 — Famille diagnostique";"chaleur";"Chaleur (plénitude)";"Shi Re — Chaleur plénitude (实热)";"chaleur interne | chaleur de | chaleur dans | chaleur au | accumulation de chaleur | exces de chaleur | chaleur pathogene | feu de | feu dans | accumulation de feu | chaleur plein | chaleur reelle | chaleur locale | plenitude chaleur | chaleur en plenitude | feu montant | feu qui monte";"chaleur par manque de yin | chaleur liee au vide de yin | vide de yin avec chaleur | chaleur du vide | chaleur qui monte par vide | inflammation locale sur vide | chaleur locale sur fond de vide | chaleur locale sur vide yang | rougeur locale sur terrain de vide yang | oe qui monte | oe locale en exces | chaleur sur vide de yin | langue rouge sans enduit"
"1 — Famille diagnostique";"exces_yang";"Excès / Plénitude de Yang";"Yang Shi (阳实)";"exces de yang | exces yang | yang en exces | plenitude yang | plenitude de yang | yang plenitude | trop de yang | yang trop fort | yang excessif | yang local | yang en plenitude | plenitude yang reelle | yang en plein | yang reel en exces";"inflammation locale sur vide | chaleur locale sur fond de vide | inflammation en surface sur terrain de vide | chaleur locale sur vide yang | rougeur locale sur terrain de vide yang"
"1 — Famille diagnostique";"exces_yin";"Excès / Plénitude de Yin";"Yin Shi (阴实)";"exces de yin | exces yin | yin en exces | plenitude yin | plenitude de yin | yin plenitude | trop de yin | yin trop fort | yin excessif";"foyer moyen trop charge | foyer moyen encombre | foyer moyen bloque | foyer moyen sature de yin | foyer moyen plein | rate surchargee de yin | rate trop pleine | rate pleine | foyer moyen obstrue"
"1 — Famille diagnostique";"vent_externe";"Fong externe (Vent externe)";"Wai Feng — Vent externe (外风)";"fong externe | invasion de fong | fong pathogene | agression de fong | fong froid | fong chaleur | fong froid externe | fong chaleur externe | vent externe | invasion de vent | vent pathogene | agression de vent | vent froid externe | vent chaleur externe";"fong externe | invasion de fong | agression de fong | fong froid | fong chaleur | attrape un fong | pris un fong | fong attaque le poumon | fong envahit la surface"
"1 — Famille diagnostique";"vent_interne";"Fong interne";"Nei Feng — Vent interne (内风)";"fong interne | fong du foie | fong interne du foie | fong | fongs | le fong | les fong | les fongs | un fong | vent interne | vent du foie | vent interne du foie | agitation interne | yang monte en usurpateur | yang ascendant | yang ne descend pas";"fong | fongs | fong interne | vertiges par manque de yin | tremblements | tremblements des membres | mouvements involontaires | spasmes musculaires | convulsions | pouls corde | pouls en corde | pouls en corde d arc | fong externe | invasion de fong | agression de fong | fong froid | fong chaleur | attrape un fong | pris un fong | fong attaque le poumon | fong envahit la surface"
"1 — Famille diagnostique";"froid_interne";"Froid interne";"Han — Froid (寒)";"froid interne | froid de | froid dans | froid au | invasion de froid | froid pathogene | accumulation de froid | blocage par le froid | manque de chaleur yang";"enduit blanc"
"1 — Famille diagnostique";"humidite";"Humidité";"Shi — Humidité (湿)";"humidite interne | retention d humidite | accumulation d humidite | humidite de | humidite dans | humidite au | exces d humidite | humidite pathogene | retention humidite | masse d humidite | humidite excessive | charge humide | l humidite | envahi par l humidite | humidite envahissante | humidite stagnante | humidite predominante | terrain humide";"corps lourd | sensation de lourdeur | lourdeur du corps | lourdeur generale | terrain humide et lourd | enduit epais | langue enduit epais | terrain humide"
"1 — Famille diagnostique";"humidite_chaleur";"Humidité-Chaleur";"Shi Re (湿热)";"humidite chaleur | chaleur humidite | humidite et chaleur | chaleur et humidite | enduit jaune gras | chaleur humide";"langue rouge avec enduit jaune | enduit jaune"
"1 — Famille diagnostique";"humidite_froid";"Humidité-Froid";"Han Shi (寒湿)";"humidite froid | froid humidite | humidite et froid | froid et humidite | froid humide | enduit blanc epais";
"1 — Famille diagnostique";"obstruction_meridien";"Obstruction / Atteinte de méridien";"Jing Luo Zu — Obstruction méridien";"obstruction du meridien | obstruction meridien | atteinte du meridien | atteinte meridien | meridien obstrue | meridien bloque | meridien atteint | vide du meridien | sequelle meridien | meridien perturbe | meridien insuffisant | circulation meridienne perturbee | obstruction chronique du meridien | obstruction chronique | meridien vb obstrue | meridien foie obstrue | meridien rein obstrue | meridien vb bloque | meridien foie bloque | vide meridien | meridien en vide | stagnation dans le meridien | stagnation locale sur terrain de vide meridien | meridien poumon obstrue | meridien coeur obstrue | meridien rate obstrue | meridien estomac obstrue | meridien poumon bloque | meridien coeur bloque | meridien rate bloque | meridien estomac bloque";"stagnation du poumon | blocage du poumon | poumon bloque | poumon en stagnation | qi du poumon bloque | qi du poumon stagnant | blocage du coeur | stagnation du rein | blocage du rein | rein bloque | circulation bloquee | le qi ne circule plus | le qi ne circule pas | le tchi ne circule plus | meridien principal | meridien principal atteint | meridien principal bloque | meridien principal obstrue | atteinte du meridien principal"
"1 — Famille diagnostique";"plenitude_oe";"Plénitude d'Oé (Wei Qi en excès)";"Wei Qi Shi — Plénitude de Wei Qi";"oe en plenitude | plenitude d oe | oe en exces | oé en plenitude | wei qi en exces | oé excessif | exces d oe | chaleur de surface | oé locale excessive";"energie defensive | oe en exces | oe locale excessive | oe qui monte | oe locale en exces"
"1 — Famille diagnostique";"secheresse";"Sécheresse";"Zao — Sécheresse (燥)";"secheresse interne | secheresse de | secheresse dans | manque de liquides | assechement des | liquides insuffisants | jin ye insuffisants | jin ye vide | manque de jin ye";"jin ye"
"1 — Famille diagnostique";"stagnation_qi";"Stagnation de Qi";"Qi Zhi (气滞)";"stagnation de qi | stagnation qi | qi stagnant | stagnation energetique | stagnation d energie | energie stagnante | blocage de qi | stagnation du qi | qi bloque | stagnation du tchi | stagnation yang | yang en stagnation | yang bloque au | blocage de la circulation | blocage de la descente | blocage circulation meridienne";"le foie ne circule pas | le foie ne circule plus | foie ne circule pas | foie ne circule plus | le foie est bloque | foie est bloque | blocage du foie | blocage au foie | blocage de l energie du foie | energie du foie bloquee | energie du foie stagnante | energie du foie entravee | energie du foie ne passe pas | qi du foie qui stagne | qi du foie en stagnation | qi du foie qui se bloque | qi du foie est retenu | foie congestionne | foie est congestionne | foie entrave | foie est entrave | foie obstrue | foie se bloque | foie qui se bloque | foie ne laisse pas circuler | foie ne fait plus passer | foie ne fait pas passer le qi | foie ralenti | foie fige | foie coince | foie sature | bois bloque | bois est bloque | bois stagnant | bois en stagnation | stagnation du bois | blocage du bois | energie du bois bloquee | bois ralenti | bois qui ne circule pas | bois qui ne circule plus | foie vb bloque | foie vb en stagnation | vb bloque | vesicule bloquee | foie serre | foie contracte | tension au niveau du foie | crispation du foie | energie qui se bloque | qi qui stagne | qi bloque | energie bloquee | energie ne circule pas | energie retenue | blocage energetique | energie entravee | tchi bloque | tchi qui stagne | tchi ne circule pas | blocage du tchi | qi entrave | qi ralenti | qi en stagnation | blocage du qi | blocage de l estomac | blocage d estomac | estomac bloque | estomac qui se bloque | estomac obstrue | estomac sature | estomac ne fait pas descendre | nausees par blocage | digestion bloquee dans l estomac | blocage de la rate | blocage a la rate | rate bloquee | rate qui se bloque | rate obstrue | vomissements chroniques | stagnation du foie | stagnation au foie | stagnation de l energie du foie | stagnation du qi du foie | stagnation de qi foie | foie en stagnation | le foie stagne | foie qui stagne | stagnation de la vesicule | stagnation de la vb | stagnation du bois vb | blocage de la vb | blocage de la vesicule | vesicule bloquee | vb stagnante | stagnation de l estomac | stagnation a l estomac | stagnation du qi de l estomac | estomac en stagnation | l estomac stagne | stagnation de qi d estomac | stagnation de la rate | stagnation a la rate | stagnation du qi de la rate | rate en stagnation | la rate stagne | stagnation du poumon | blocage du poumon | poumon bloque | poumon en stagnation | qi du poumon stagnant | stagnation du coeur | coeur bloque | qi du coeur bloque | stagnation du rein | blocage du rein | rein bloque | energie bloquee | circulation bloquee | qi bloque | le qi ne circule plus | le qi ne circule pas | qi en stagnation | qi stagnant | tchi qui stagne | tchi bloque | le tchi ne circule plus | oe qui ne circule plus | colere | colere refoulee | colere contenue | frustration | frustration refoulee | irritabilite | impatience | enervement | agacement | ressentiment | le foie ne draine plus | le libre flux du foie est entrave | faire circuler le qi | faire circuler l energie | relancer la circulation du qi | debloquer le qi"
"1 — Famille diagnostique";"stagnation_sang";"Stagnation de Sang";"Xue Yu (血瘀)";"stagnation de sang | stagnation sang | sang stagnant | sang bloque | stase sanguine | stase de sang | xue stagnant | stagnation du sang";"sang bloque | sang qui stagne | sang coagule | stase du sang | mauvaise circulation du sang | sang ne circule plus bien | sang stagnant dans | sang fige | sang ralenti | microcirculation perturbee | stase sanguine | sang qui ne circule plus | sang du foie stagnant | sang stagnant au foie | stase de sang au foie | sang bloque au foie | sang du foie qui se bloque | caillots menstruels | regles avec caillots | regles sombres | stagnation du coeur | blocage du coeur | coeur bloque | le coeur ne propulse plus | disperser les stases | lever les stases | sang a faire circuler | langue violette | langue foncee | teint terne"
"1 — Famille diagnostique";"tan";"Tan (Phlegme / Flegme)";;"phlegme | flegme | glaires pathogenes | mucus pathologique | accumulation de tan | retention de tan | formation de tan | production de tan | tan obstrue | tan dans les meridiens | tan humide | tan chaud | tan froid | tan vent | tan feu | humidite epaissie | humidite epaissie en tan | humidite transformee en tan | obstruction par le tan | phlegme obstruant | phlegme accumule | mucosites epaisses | glaires | tan invisible | tan pervers | le tan obstrue | le tan bloque";"mucus s accumule | glaires qui s accumulent | phlegme qui s accumule | tan qui obstrue | mucosites | mucus pathologique | glaires dans les poumons"
"1 — Famille diagnostique";"vide_iong";"Vide d'Iong (Ying Qi insuffisante)";;"iong insuffisante | iong vide | vide d iong | vide de iong | ying qi insuffisante | insuffisance iong | iong affaiblie";"energie nutritive | ying qi | iong vide | iong insuffisante | iong faiblit | iong epuisee | l iong ne nourrit plus | deficit d iong"
"1 — Famille diagnostique";"vide_jing";"Vide de Jing / Tsing (Ancestrale)";;"vide de jing | vide jing | jing vide | tsing vide | vide de tsing | insuffisance jing | jing epuise | tsing epuise | vide d essence | essence insuffisante | energie ancestrale epuisee | epuisement du jing";"essence du rein insuffisante | energie ancestrale | jing qi | tsing vide | tsing insuffisant | tsing epuise | tsing du rein vide | l energie ancestrale s epuise | l energie ancestrale faiblit | le rein ne stocke plus le jing | os fragiles | osteoporose | vieillissement premature | cheveux blancs precoces | dents qui se dechaussent"
